Type 	Number 	Time 	Objective function 	Average excess cost 	Lower bound 	Best Lower Bound 	Gap 	Relative Gap 	LS iterations 	Step size 	
FW Iteration 	0 	16152764.590692130849 	
FW Iteration 	1 	16152764.590692130849 	152.825 	-38956026.842346146703 	-3.8956e+07 	5.51088e+07 	1.41464 	0 	1 	
FW Iteration 	2 	30053263.377333234996 	322.906 	-86386759.222399413586 	-3.8956e+07 	1.1644e+08 	1.77147 	0 	1 	
FW Iteration 	3 	9988064.0986430402845 	52.8295 	-9062259.101227780804 	-9.06226e+06 	1.90503e+07 	2.10216 	0 	1 	
FW Iteration 	4 	8132459.3306256271899 	30.8737 	-3000584.3088014852256 	-3.00058e+06 	1.1133e+07 	3.71029 	0 	1 	
FW Iteration 	5 	6777493.539951347746 	11.2329 	2726911.0008662962355 	2.72691e+06 	4.05058e+06 	1.48541 	0 	1 	
FW Iteration 	6 	6369650.2693352848291 	7.48871 	3669221.6622305517085 	3.66922e+06 	2.70043e+06 	0.735968 	0 	1 	
FW Iteration 	7 	6108001.8437037495896 	5.86869 	3991751.1830570022576 	3.99175e+06 	2.11625e+06 	0.530156 	0 	1 	
FW Iteration 	8 	5911298.1125702466816 	4.54415 	4272678.8348653279245 	4.27268e+06 	1.63862e+06 	0.383511 	0 	1 	
FW Iteration 	9 	5769969.913997550495 	3.66722 	4447568.8242916017771 	4.44757e+06 	1.3224e+06 	0.297331 	0 	1 	
FW Iteration 	10 	5664793.3334344252944 	3.25996 	4489252.2189981332049 	4.48925e+06 	1.17554e+06 	0.261857 	0 	1 	
FW Iteration 	11 	5587433.8203328475356 	3.01271 	4501050.203917122446 	4.50105e+06 	1.08638e+06 	0.241362 	0 	1 	
FW Iteration 	12 	5519561.2059948248789 	2.75392 	4526495.9451164938509 	4.5265e+06 	993065 	0.219389 	0 	1 	
FW Iteration 	13 	5455330.9055965105072 	2.26854 	4637294.6452696174383 	4.63729e+06 	818036 	0.176404 	0 	1 	
FW Iteration 	14 	5407123.4080338440835 	2.28815 	4582016.0478698946536 	4.63729e+06 	825107 	0.166008 	0 	1 	
FW Iteration 	15 	5357915.6414121929556 	1.80873 	4705689.3366053774953 	4.70569e+06 	652226 	0.138604 	0 	1 	
FW Iteration 	16 	5321045.2505725352094 	1.89993 	4635932.0374846607447 	4.70569e+06 	685113 	0.130768 	0 	1 	
FW Iteration 	17 	5291018.6510447375476 	1.79926 	4642205.0779703753069 	4.70569e+06 	648814 	0.124388 	0 	1 	
FW Iteration 	18 	5259657.3111190125346 	1.47529 	4727667.4209106573835 	4.72767e+06 	531990 	0.112527 	0 	1 	
FW Iteration 	19 	5235561.8503982750699 	1.53402 	4682392.7962301168591 	4.72767e+06 	553169 	0.10743 	0 	1 	
FW Iteration 	20 	5213565.6719592604786 	1.47426 	4681948.6046778839082 	4.72767e+06 	531617 	0.102778 	0 	1 	
FW Iteration 	21 	5192500.0047541409731 	1.39093 	4690929.542362889275 	4.72767e+06 	501570 	0.0983218 	0 	1 	
FW Iteration 	22 	5173054.3919620886445 	1.25196 	4721597.5010442724451 	4.72767e+06 	451457 	0.0942086 	0 	1 	
FW Iteration 	23 	5156021.2249923124909 	1.20759 	4720563.3665848104283 	4.72767e+06 	435458 	0.0906057 	0 	1 	
FW Iteration 	24 	5141201.1216030921787 	1.15997 	4722915.5090157799423 	4.72767e+06 	418286 	0.087471 	0 	1 	
FW Iteration 	25 	5127745.8831076789647 	1.10015 	4731032.8460822543129 	4.73103e+06 	396713 	0.0838534 	0 	1 	
FW Iteration 	26 	5113921.1237744642422 	1.0424 	4738032.0778761478141 	4.73803e+06 	375889 	0.0793344 	0 	1 	
FW Iteration 	27 	5102608.6970146941021 	1.06351 	4719107.0932788038626 	4.73803e+06 	383502 	0.0769468 	0 	1 	
FW Iteration 	28 	5091429.5497692069039 	0.980337 	4737919.8865602379665 	4.73803e+06 	353510 	0.0745874 	0 	1 	
FW Iteration 	29 	5081106.3921305080876 	0.90899 	4753324.4785770196468 	4.75332e+06 	327782 	0.0689585 	0 	1 	
FW Iteration 	30 	5071740.3976398576051 	0.961916 	4724873.6324819251895 	4.75332e+06 	346867 	0.066988 	0 	1 	
FW Iteration 	31 	5062903.2462486103177 	0.897414 	4739295.8151352927089 	4.75332e+06 	323607 	0.0651289 	0 	1 	
FW Iteration 	32 	5054056.3632800150663 	0.815059 	4760146.0399158466607 	4.76015e+06 	293910 	0.061744 	0 	1 	
FW Iteration 	33 	5046063.1970759797841 	0.7843 	4763244.6410099295899 	4.76324e+06 	282819 	0.0593752 	0 	1 	
FW Iteration 	34 	5039008.0670796521008 	0.809475 	4747111.5032806657255 	4.76324e+06 	291897 	0.057894 	0 	1 	
FW Iteration 	35 	5032336.4990929402411 	0.773112 	4753552.1800575479865 	4.76324e+06 	278784 	0.0564934 	0 	1 	
FW Iteration 	36 	5025599.3407274764031 	0.735506 	4760375.8064325591549 	4.76324e+06 	265224 	0.055079 	0 	1 	
FW Iteration 	37 	5019747.3394289100543 	0.731264 	4756053.4123881179839 	4.76324e+06 	263694 	0.0538504 	0 	1 	
FW Iteration 	38 	5014193.0599238369614 	0.702892 	4760730.055951366201 	4.76324e+06 	253463 	0.0526843 	0 	1 	
FW Iteration 	39 	5008640.5797025747597 	0.703115 	4755097.4232204193249 	4.76324e+06 	253543 	0.0515187 	0 	1 	
FW Iteration 	40 	5003182.2202393431216 	0.63922 	4772679.4480744143948 	4.77268e+06 	230503 	0.0482963 	0 	1 	
